id,prospect_name,segment,channel_primary,email_or_handle,source,status,priority,notes
1,,,WhatsApp,,,prospect,high,
2,,,WhatsApp,,,prospect,high,
3,,,Instagram DM,,,prospect,high,
4,,,Email,,,prospect,medium,
5,,,LinkedIn,,,prospect,medium,
6,,,WhatsApp,,,prospect,high,
7,,,WhatsApp,,,prospect,high,
8,,,YouTube DM,,,prospect,medium,
9,,,Email,,,prospect,medium,
10,,,WhatsApp,,,prospect,high,
11,,,WhatsApp,,,prospect,high,
12,,,Instagram DM,,,prospect,medium,
13,,,LinkedIn,,,prospect,medium,
14,,,Email,,,prospect,low,
15,,,WhatsApp,,,prospect,high,
16,,,WhatsApp,,,prospect,high,
17,,,DM,,,prospect,medium,
18,,,Email,,,prospect,medium,
19,,,WhatsApp,,,prospect,high,
20,,,LinkedIn,,,prospect,low,
21,,,WhatsApp,,,prospect,high,
22,,,Instagram DM,,,prospect,medium,
23,,,Email,,,prospect,medium,
24,,,WhatsApp,,,prospect,high,
25,,,WhatsApp,,,prospect,high,
26,,,LinkedIn,,,prospect,low,
27,,,DM,,,prospect,medium,
28,,,Email,,,prospect,medium,
29,,,WhatsApp,,,prospect,high,
30,,,WhatsApp,,,prospect,high,
31,,,Instagram DM,,,prospect,medium,
32,,,Email,,,prospect,low,
33,,,WhatsApp,,,prospect,high,
34,,,WhatsApp,,,prospect,high,
35,,,LinkedIn,,,prospect,medium,
36,,,DM,,,prospect,medium,
37,,,Email,,,prospect,medium,
38,,,WhatsApp,,,prospect,high,
39,,,WhatsApp,,,prospect,high,
40,,,YouTube DM,,,prospect,medium,
41,,,Email,,,prospect,medium,
42,,,WhatsApp,,,prospect,high,
43,,,LinkedIn,,,prospect,low,
44,,,WhatsApp,,,prospect,high,
45,,,Instagram DM,,,prospect,medium,
46,,,Email,,,prospect,medium,
47,,,WhatsApp,,,prospect,high,
48,,,DM,,,prospect,medium,
49,,,Email,,,prospect,low,
50,,,Referral,,,prospect,high,Warm intro — prioritise
